"","751585__853_39491","46503__820_28116","357276__33039_40518","47678__1680_45851","853__39491","39485__28117_457412","820__28116","33039__40518","46506__487174","28117__457412","1680__45851"
"ERR209181",-2.83395081542124,2.79542476768332,0,0,-4.90854679846084,5.19692869120659,5.29593578171502,0,-4.57333920668048,0,0
"ERR209182",-5.34309851744225,2.78079288936004,0,0,-0.395990013784149,-2.70797686276624,4.25962762706747,0,0,4.6903535120321,0
"ERR209183",-5.31830489660154,5.17129674349241,0,0,-0.820130161048487,-2.56053904691018,0,0,-4.27829355865481,4.43498372401242,0
"ERR209184",-3.3181786335051,0,0,2.33558109117442,-5.7472539818203,0,0,0,-4.87136845443189,0,-4.89508655840004
"ERR209185",-5.7767777431356,4.89501888021629,0,2.43973786439186,-1.4178547348706,0,0,0,-5.04861271789327,0,-4.67279093295737
"ERR209186",-3.09378049440769,-2.5731263225976,0,3.0273318306701,5.35858500377968,2.75454233336285,4.45678552503191,0,0,4.36690298160898,-4.68823874016517
"ERR209187",-2.94759862949483,-2.67628188999645,0,3.24452548588841,5.10539058660543,2.7478937014855,4.63545620885031,0,0,4.26214507134882,-4.62662729123125
"ERR209188",-2.50418416947725,-2.51325321078684,6.82356048994761,5.99945086176245,4.33737421304427,0,-4.35308225336842,0,0.0420579102655954,0,0
"ERR209189",0,-2.57729827242637,6.96322937220523,6.22390902680507,0,5.16375879154313,-4.46401155410197,0,-0.158312721818029,0,0
"ERR209190",-2.99769746136419,0,-5.87972238196359,0,5.19216430880302,0,0,-1.40806004039551,-5.01492150121598,0,0
"ERR209191",-2.736303125642,0,-5.89026385233684,0,4.73941603852147,4.81460848861097,0,-1.79192376446084,-5.07797466396497,0,0
"ERR209192",0.184513754966791,2.10487554771293,0,-3.03169676405484,-0.356906939225413,0,3.83201929540582,0,0,0,-5.25105282848513
"ERR209193",2.682730596486,-2.26812996364295,-2.2442264073723,-3.30724487699772,-4.97506742919251,0,3.92851633519894,3.88711416125659,0,0,-5.72831616003194
"ERR209194",2.12700021047131,2.52289918290059,0,0,4.92182178765541,-2.75931249721754,4.38389957435925,0,0,4.77926943914054,0
"ERR209195",5.14307108205759,0.343023460596646,0,0,0,2.61841053258073,0.368214011189174,0,0,4.08203898221098,0
"ERR209196",-0.539182001062408,4.72443592877136,0,-2.77557929691654,0.597941201769614,-2.85439622235007,0,0,-5.033080043146,4.94395928204298,-4.80744436269575
"ERR209197",-2.85655419257805,5.01356894239708,0,-3.26752772547886,-4.94769699611907,0,0,0,-4.95435898981548,0,-5.65952403566936
"ERR209198",-3.03017918728345,-2.917082968727,-2.76833604927692,2.42669783617103,-5.24842430841271,-2.61901572797606,5.05253591172902,-4.79489868977212,-4.77149311183054,4.53626830667652,4.26299491803641
"ERR209199",-3.1474718942802,-5.36079601083554,-2.93000507096077,5.26815222250139,-5.45158123628836,5.00051223219284,0.923391638328591,-5.0749176493385,-4.89412871772755,0,0
"ERR209200",-2.79128797773761,3.41245441853831,5.48393996298578,0,4.83465259599773,0,4.58483299344098,0,-5.17551469420338,0,0
"ERR209201",0,3.42802463829642,5.56645025649357,5.11062155406067,0,0,4.57431445342056,0,-5.20121031799214,0,0
"ERR209202",-5.58288901299357,0,0,0,-0.273235315500561,0,0,0,0,0,0
"ERR209203",-2.95137615458523,0,-2.30438677080553,0,-5.11193345198887,0,0,-3.99131496732475,0,0,0
"ERR209204",-6.02363842266569,1.65111675123468,0,-5.61299491063522,-0.330736983797231,-2.87508758610225,5.14736272342025,0,0,4.97979777533966,-0.916135819354606
"ERR209205",-5.91496952175194,1.68290450925501,0,-5.5151456660476,-0.736017445188088,-2.74913358149494,5.19446426384856,0,0,4.76163903994303,-1.40025361937502
"ERR209206",-3.30168079686038,1.76500934372732,-2.31826727995859,-3.0557982220645,-5.71867889053667,0,5.21395501239216,4.01535671441278,-4.43807327558436,0,-5.29279777829436
"ERR209207",0.00182634090899732,-2.701350768173,0,-3.51853044658609,-0.256446733429358,-2.59717585061242,4.67887677954085,0,0,4.49844052945162,-6.09427350146512
"ERR209208",2.37207084809887,-2.70554540729843,4.76103396044284,-3.59674080699694,-4.60816873182311,5.03826238818007,4.68614210762551,0,0,0,-6.22973781937498
"ERR209209",-5.66739208057112,0,-2.49803807042972,5.7637257736954,-0.329147786118853,-2.82728552405623,0,4.3267288572256,-4.82155522029212,4.89700217516938,0
"ERR209210",-3.00871023883648,0,-2.6813763992288,6.10712717880751,-5.21123899891748,4.92103764894077,0,4.64428015768038,-5.02720642864243,0,0
"ERR209211",-3.10794352540057,-5.52399683544937,3.27261845240559,0,-5.38311609304852,0,0.606838799063678,4.46884534906589,0,0,0
"ERR209212",-3.16009837088353,-5.68233186217256,5.89337625038307,0,-5.47345093528592,0,0.499918435378237,0,0,0,0
