,ACC,AUC,F1,GI,IBA,J,MCC,PPV,TNR,TPR
2b-franzosa-mic-cd-v-uc,0.88889,0.9,0.88889,0.8,0.96,0.8,0.8,0.8,0.8,1.0
2b-franzosa-mic-cd-v-uc,0.66667,0.675,0.66667,0.35,0.5175,0.5,0.35,0.6,0.6,0.75
2b-franzosa-mic-cd-v-uc,0.66667,0.675,0.66667,0.35,0.3825,0.5,0.35,0.75,0.75,0.6
3b-duvallet-schubert-case-v-nondc,0.92,0.91319,0.88889,0.82639,0.79282,0.8,0.82639,0.88889,0.9375,0.88889
3b-duvallet-schubert-case-v-nondc,0.92,0.91319,0.9375,0.82639,0.87384,0.88235,0.82639,0.9375,0.88889,0.9375
3b-duvallet-schubert-case-v-nondc,0.92,0.91667,0.9,0.83333,0.812,0.81818,0.83333,0.9,0.93333,0.9
3b-duvallet-schubert-case-v-nondc,0.92,0.91667,0.93333,0.83333,0.868,0.875,0.83333,0.93333,0.9,0.93333
3b-duvallet-schubert-case-v-nondc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3b-duvallet-schubert-case-v-nondc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3b-duvallet-schubert-case-v-nondc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3b-duvallet-schubert-case-v-nondc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3b-duvallet-schubert-case-v-nondc,0.92,0.9375,0.9,0.875,0.98438,0.81818,0.84611,0.81818,0.875,1.0
3b-duvallet-schubert-case-v-nondc,0.92,0.9375,0.93333,0.875,0.76562,0.875,0.84611,1.0,1.0,0.875
3b-duvallet-schubert-case-v-nondc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3b-duvallet-schubert-case-v-nondc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3b-duvallet-schubert-case-v-nondc,0.91667,0.91111,0.88889,0.82222,0.79276,0.8,0.82222,0.88889,0.93333,0.88889
3b-duvallet-schubert-case-v-nondc,0.91667,0.91111,0.93333,0.82222,0.8665,0.875,0.82222,0.93333,0.88889,0.93333
3b-duvallet-schubert-case-v-nondc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3b-duvallet-schubert-case-v-nondc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3b-duvallet-schubert-case-v-nondc,0.92,0.88889,0.875,0.77778,0.60494,0.77778,0.83148,1.0,1.0,0.77778
3b-duvallet-schubert-case-v-nondc,0.92,0.88889,0.94118,0.77778,0.95062,0.88889,0.83148,0.88889,0.77778,1.0
3b-duvallet-schubert-case-v-nondc,0.95833,0.94444,0.94118,0.88889,0.79012,0.88889,0.91287,1.0,1.0,0.88889
3b-duvallet-schubert-case-v-nondc,0.95833,0.94444,0.96774,0.88889,0.98765,0.9375,0.91287,0.9375,0.88889,1.0
3a-duvallet-schubert-case-v-diarrhea,0.88889,0.875,0.90909,0.75,0.9375,0.83333,0.79057,0.83333,0.75,1.0
3a-duvallet-schubert-case-v-diarrhea,0.88889,0.875,0.85714,0.75,0.5625,0.75,0.79057,1.0,1.0,0.75
3a-duvallet-schubert-case-v-diarrhea,0.72222,0.72222,0.73684,0.44444,0.57613,0.58333,0.44721,0.7,0.66667,0.77778
3a-duvallet-schubert-case-v-diarrhea,0.72222,0.72222,0.70588,0.44444,0.46091,0.54545,0.44721,0.75,0.77778,0.66667
3a-duvallet-schubert-case-v-diarrhea,0.55556,0.55556,0.33333,0.11111,0.06584,0.2,0.14907,0.66667,0.88889,0.22222
3a-duvallet-schubert-case-v-diarrhea,0.55556,0.55556,0.66667,0.11111,0.32922,0.5,0.14907,0.53333,0.22222,0.88889
3a-duvallet-schubert-case-v-diarrhea,0.77778,0.77778,0.81818,0.55556,0.80247,0.69231,0.62017,0.69231,0.55556,1.0
3a-duvallet-schubert-case-v-diarrhea,0.77778,0.77778,0.71429,0.55556,0.30864,0.55556,0.62017,1.0,1.0,0.55556
3a-duvallet-schubert-case-v-diarrhea,0.73684,0.73889,0.73684,0.47778,0.5021,0.58333,0.47778,0.77778,0.77778,0.7
3a-duvallet-schubert-case-v-diarrhea,0.73684,0.73889,0.73684,0.47778,0.58679,0.58333,0.47778,0.7,0.7,0.77778
3a-duvallet-schubert-case-v-diarrhea,0.83333,0.83333,0.82353,0.66667,0.61454,0.7,0.67082,0.875,0.88889,0.77778
3a-duvallet-schubert-case-v-diarrhea,0.83333,0.83333,0.84211,0.66667,0.76818,0.72727,0.67082,0.8,0.77778,0.88889
3a-duvallet-schubert-case-v-diarrhea,0.72222,0.72222,0.61538,0.44444,0.19753,0.44444,0.53452,1.0,1.0,0.44444
3a-duvallet-schubert-case-v-diarrhea,0.72222,0.72222,0.78261,0.44444,0.69136,0.64286,0.53452,0.64286,0.44444,1.0
3a-duvallet-schubert-case-v-diarrhea,0.77778,0.77778,0.77778,0.55556,0.60494,0.63636,0.55556,0.77778,0.77778,0.77778
3a-duvallet-schubert-case-v-diarrhea,0.77778,0.77778,0.77778,0.55556,0.60494,0.63636,0.55556,0.77778,0.77778,0.77778
3a-duvallet-schubert-case-v-diarrhea,0.77778,0.77778,0.75,0.55556,0.46091,0.6,0.5698,0.85714,0.88889,0.66667
3a-duvallet-schubert-case-v-diarrhea,0.77778,0.77778,0.8,0.55556,0.72428,0.66667,0.5698,0.72727,0.66667,0.88889
3a-duvallet-schubert-case-v-diarrhea,0.89474,0.9,0.88889,0.8,0.64,0.8,0.80904,1.0,1.0,0.8
3a-duvallet-schubert-case-v-diarrhea,0.89474,0.9,0.9,0.8,0.96,0.81818,0.80904,0.81818,0.8,1.0
1a-selbal-crohn,0.73962,0.73986,0.75445,0.47972,0.61206,0.60571,0.48348,0.71141,0.67669,0.80303
1a-selbal-crohn,0.73962,0.73986,0.72289,0.47972,0.47475,0.56604,0.48348,0.77586,0.80303,0.67669
1a-selbal-crohn,0.80377,0.80383,0.80153,0.60766,0.62739,0.66879,0.60786,0.81395,0.81818,0.78947
1a-selbal-crohn,0.80377,0.80383,0.80597,0.60766,0.66448,0.675,0.60786,0.79412,0.78947,0.81818
1a-selbal-crohn,0.79245,0.79269,0.77912,0.58538,0.54522,0.63816,0.58997,0.83621,0.85606,0.72932
1a-selbal-crohn,0.79245,0.79269,0.80427,0.58538,0.70347,0.67262,0.58997,0.75839,0.72932,0.85606
1a-selbal-crohn,0.69811,0.69785,0.6748,0.39571,0.41562,0.5092,0.39962,0.72807,0.76692,0.62879
1a-selbal-crohn,0.69811,0.69785,0.71831,0.39571,0.54884,0.56044,0.39962,0.6755,0.62879,0.76692
1a-selbal-crohn,0.82955,0.82955,0.80349,0.65909,0.49277,0.67153,0.68356,0.94845,0.96212,0.69697
1a-selbal-crohn,0.82955,0.82955,0.8495,0.65909,0.84837,0.73837,0.68356,0.76048,0.69697,0.96212
3c-duvallet-baxter-crc-v-h,0.75862,0.75735,0.72,0.51471,0.5651,0.5625,0.50973,0.69231,0.76471,0.75
