"","818__1308_47678","853__39485","1735__88431_411489","28116__204516","40545__33039_360807","100886__165179_310298","674529__218538_410072","823__39483","28111__208479","46228__821_46506","166486__261299","39777__357276","1308__47678","1681__74426_487173","301301__820_29466","39496__28118_39486","1623__40520_329854","338188__562_39491","1304__239935","165179__310298","1318__387090","33039__360807","88431__411489","658082__39488_751585","1502__214856","817__39492","150055__216816_487174","218538__410072","729__46503","1531__40518_658081","820__29466","821__46506","562__39491","74426__487173","40520__329854","39488__751585","29361__33038_246787","28118__39486","291644__28117_457412","216816__487174","328814__1680_45851","40518__658081","33038__246787","28117__457412","1680__45851"
"ERR209077",0,4.55315796015024,-2.90592278339395,0,0,-3.01035779161611,0,0,0,0,0,0,0,0,0,0,0,0,-3.98827124336558,5.21409264403994,0,0,-5.0332059037103,0,0,-5.81108505165623,0,0,0,0,0,0,0,0,0,0,0,0,-2.29417492436337,0,0,0,0,3.97362753044784,0
"ERR209078",0,4.18389713709787,-2.99708514416827,0,0,1.1116937647045,0,0,0,0,-3.52150699757274,0,0,0,0,0,0,0,-3.6376301573418,5.26645683703409,0,0,-5.19110374430933,0,0,-5.76800981451331,0,0,0,0,0,0,0,0,0,0,0,0,-2.07652645334599,0,0,0,0,3.59664932045607,0
"ERR209079",0,-3.78804690026713,-3.2406480090703,0,-2.22165448641501,1.61619346174016,0,0,0,-2.45498000898536,-3.76197580737781,0,0,0,0,0,0,0,0,5.21890233126601,0,3.84801844733414,-5.61296700115669,0,0,-5.70162029660149,0,0,0,0,0,4.25215010712854,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR209082",0,5.20711728724077,0,0,0,0,0,0,0,-2.72313148828291,4.79369145212075,0,0,0,-2.67022907368918,0,0,0,-4.66330065656992,0,-4.55851224544276,0,0,0,0,0,-2.56658740589274,0,0,0,4.62497242347723,4.71660209339666,0,0,0,0,-2.85398998721895,0,-2.81064194567311,-4.44545978907263,0,0,-4.94325566215607,4.86817465179007,0
"ERR209083",0,4.93834581779218,0,0,0,0,0,0,0,0,4.91519757915328,0,0,0,-2.71003710965211,0,0,0,0,0,-4.61069677901738,0,0,0,0,0,-2.62571504649901,0,0,0,4.69392196431457,0,0,0,0,0,-2.92346936368078,0,-2.68908043580507,-4.54787186673436,0,0,-5.06359747226616,4.65762394045384,0
"ERR209084",0,4.7699404235136,0,0,0,0,0,0,0,-2.62441409114618,4.8065429555656,0,0,0,-2.69008536197366,0,0,0,-4.39925558716896,0,-4.35188148633714,0,0,0,0,0,-2.57431978762106,0,0,0,4.65936452363569,4.54561854596489,0,0,0,0,-2.8730337195026,0,0,-4.4588526670896,0,0,-4.9762403740371,0,0
"ERR209085",0,4.53137670428698,0,0,0,0,0,0,0,0,0,-4.77862356855419,0,0,0,-2.380986904605,0,0,-4.72602233032658,0,0,0,0,0,0,0,-2.52973848131791,0,0,-2.89751426188376,0,0,0,0,0,0,-3.15128929982788,4.12399029093202,2.50932465028966,-4.38163557950476,0,5.0186419172381,-5.45819317665004,4.9072802463719,0
"ERR209086",0,4.41132325423892,0,0,0,0,0,0,0,0,0,-4.83892171927808,0,0,0,-2.37010346996602,0,0,-4.57798563449733,0,0,0,0,0,0,0,-2.53176188501896,0,0,-2.88801607533965,0,0,0,0,0,0,-3.14995335458904,4.10513962917644,2.67376948640484,-4.38514021751919,0,5.00219057556393,-5.45587925162025,4.77068961551865,0
"ERR209087",0,4.0499995706941,0,0,0,0,0,0,0,0,0,-4.85543864383651,0,0,0,-2.41925538314654,0,0,-4.18051666216225,0,0,0,0,0,0,0,-2.62485605986513,0,0,-2.99673896911334,0,0,0,0,0,0,-3.22653943130894,4.19027324009433,3.01747022872186,-4.54638405824147,0,5.19050415152588,-5.58853022765148,4.30102712311951,0
"ERR209088",0,4.47541549013347,0,0,0,0,0,0,0,0,0,-4.80822685878635,0,0,0,-2.34861114249148,0,0,-4.55249938024223,0,0,0,0,0,0,0,-2.53333437368127,0,0,-2.8788342222538,0,0,0,0,0,0,-3.15166302845152,4.06791382601762,2.74535413290487,-4.38786384777663,0,4.98628713951161,-5.45884049361443,4.67838719375083,0
